teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursAverageByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
3,0.0,0,1,1,2.0,2.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,3,0.75,57,14.25,14.463316,4.0,0.0,3.0,0.0,0.75,0.0,57.0,0.0,4.0,0.0,3.0,2,2,0,0
3,0.3333,1,1,3,9.714286,3.238095,3.299832,6.285715,2.095238,1.699673,4.571429,1.52381,0.942809,1.714286,0.571429,0.816497,8.0,2.666667,3.091206,3.0,0.0,9.714286,0.0,3.238095,0.0,6.285715,0.0,2.095238,0.0,4.571429,0.0,1.52381,0.0,1.714286,0.0,0.571429,0.0,8.0,0.0,2.666667,0.0,1.0,0.0,3.238095,1.885618,3.238095,1.885618,2.095238,0.971242,2.095238,0.971242,1.52381,0.538748,1.52381,0.538748,0.571429,0.46656899999999996,0.571429,0.46656899999999996,2.666667,1.766404,2.666667,1.766404,4,3,0.75,127,31.75,6.533567,4.0,0.0,3.0,0.0,0.75,0.0,127.0,0.0,4.0,0.0,3.0,2,2,0,1
4,0.0,0,1,3,4.0,1.333333,0.471405,3.428572,1.142857,0.0,6.285715,2.095238,0.471405,1.714286,0.571429,0.816497,1.714286,0.571429,0.0,3.0,0.0,4.0,0.0,1.333333,0.0,3.428572,0.0,1.142857,0.0,6.285715,0.0,2.095238,0.0,1.714286,0.0,0.571429,0.0,1.714286,0.0,0.571429,0.0,1.0,0.0,1.333333,0.269374,1.333333,0.269374,1.142857,0.0,1.142857,0.0,2.095238,0.269374,2.095238,0.269374,0.571429,0.46656899999999996,0.571429,0.46656899999999996,0.571429,0.0,0.571429,0.0,7,1,0.1429,0,0.0,0.0,7.0,0.0,1.0,0.0,0.1429,0.0,0.0,0.0,7.0,0.0,1.0,1,1,0,0
6,0.0,0,0,1,2.0,2.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2,1.0,45,22.5,4.5,2.0,0.0,2.0,0.0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,0,0,0,1
6,0.1667,0,0,3,11.0,3.666667,1.699673,5.0,1.666667,0.471405,23.0,7.666666999999999,3.771236,9.0,3.0,4.242641000000001,3.0,1.0,0.0,3.0,0.0,11.0,0.0,3.666667,0.0,5.0,0.0,1.666667,0.0,23.0,0.0,7.666666999999999,0.0,9.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.666667,1.699673,3.666667,1.699673,1.666667,0.471405,1.666667,0.471405,7.666666999999999,3.771236,7.666666999999999,3.771236,3.0,4.242641000000001,3.0,4.242641000000001,1.0,0.0,1.0,0.0,1,1,1.0,13,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,1.0,0,0,0,1
6,0.1667,0,0,7,10.285715,1.469388,0.6776310000000001,10.285715,1.469388,0.6776310000000001,8.571429,1.2244899999999999,1.2454,0.857143,0.122449,0.524891,4.285714,0.6122449999999999,0.562429,7.0,0.0,10.285715,0.0,1.469388,0.0,10.285715,0.0,1.469388,0.0,8.571429,0.0,1.2244899999999999,0.0,0.857143,0.0,0.122449,0.0,4.285714,0.0,0.6122449999999999,0.0,1.1667,0.372678,1.714286,0.28571399999999997,1.52381,0.212959,1.714286,0.28571399999999997,1.52381,0.212959,1.4285709999999998,0.857143,1.190476,0.5812649999999999,0.14285699999999998,0.319438,0.14285699999999998,0.319438,0.714286,0.395554,0.6190479999999999,0.346672,4,2,0.5,153,38.25,6.495191,4.0,0.0,2.0,0.0,0.5,0.0,153.0,0.0,4.0,0.0,2.0,0,0,0,1
7,0.1429,0,0,9,13.714285999999998,1.52381,0.8498370000000001,12.000001,1.333333,0.971825,10.0,1.111111,1.1166530000000001,28.57143,3.174603,15.011929,5.142857,0.571429,1.154701,9.0,0.0,13.714285999999998,0.0,1.52381,0.0,12.000001,0.0,1.333333,0.0,10.0,0.0,1.111111,0.0,28.57143,0.0,3.174603,0.0,5.142857,0.0,0.571429,0.0,1.2857,0.451754,1.959184,0.799833,1.55102,0.503217,1.714286,0.9658909999999999,1.306123,0.588661,1.4285709999999998,1.069045,1.040816,0.6944779999999999,4.081633,9.53461,4.040817,9.550149000000001,0.734694,0.663187,0.653061,0.6950770000000001,11,10,0.9091,291,26.4545,14.797811,5.5,3.5,5.0,3.0,0.94445,0.05555,145.5,94.5,1.8333,0.8975270000000001,1.8333,0,0,0,1
6,0.1667,0,0,10,17.142858,1.714286,2.4083189999999997,14.285715,1.4285709999999998,1.565248,16.000001,1.6,1.6,2.285714,0.228571,0.663325,10.571429,1.057143,1.7327720000000002,10.0,0.0,17.142858,0.0,1.714286,0.0,14.285715,0.0,1.4285709999999998,0.0,16.000001,0.0,1.6,0.0,2.285714,0.0,0.228571,0.0,10.571429,0.0,1.057143,0.0,1.6667,0.471405,2.857143,1.475422,2.0,1.502832,2.380952,1.1625290000000001,1.52381,0.785353,2.666667,1.463075,1.619048,0.712697,0.380952,0.538748,0.190476,0.269374,1.7619049999999998,1.074335,1.119048,0.585637,9,8,0.8889,312,34.6667,26.870058,9.0,0.0,8.0,0.0,0.8889,0.0,312.0,0.0,9.0,0.0,8.0,0,0,0,1
6,0.1667,0,0,8,9.714286,1.214286,0.599479,6.285715,0.785714,0.695971,8.0,1.0,0.661438,4.0,0.5,1.9645290000000002,4.571429,0.571429,0.5,8.0,0.0,9.714286,0.0,1.214286,0.0,6.285715,0.0,0.785714,0.0,8.0,0.0,1.0,0.0,4.0,0.0,0.5,0.0,4.571429,0.0,0.571429,0.0,1.3333,0.471405,1.619048,0.767834,1.190476,0.346672,1.047619,0.693344,0.761905,0.425918,1.333333,0.631738,1.0,0.395554,0.666667,1.2526620000000002,0.380952,0.631738,0.761905,0.538748,0.52381,0.256436,3,2,0.6667,112,37.3333,17.913372,3.0,0.0,2.0,0.0,0.6667,0.0,112.0,0.0,3.0,0.0,2.0,0,0,0,1
4,0.0,0,1,3,4.571429,1.52381,0.471405,1.714286,0.571429,0.0,2.0,0.666667,0.62361,0.0,0.0,0.0,0.857143,0.28571399999999997,0.408248,3.0,0.0,4.571429,0.0,1.52381,0.0,1.714286,0.0,0.571429,0.0,2.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.857143,0.0,0.28571399999999997,0.0,1.0,0.0,1.52381,0.269374,1.52381,0.269374,0.571429,0.0,0.571429,0.0,0.666667,0.356348,0.666667,0.356348,0.0,0.0,0.0,0.0,0.28571399999999997,0.233285,0.28571399999999997,0.233285,1,1,1.0,50,50.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0,1.0,0,0,0,0
