Attribute21,Attribute4,Attribute1,Attribute9,Attribute8,Attribute20,Attribute5,Attribute23,Attribute3,Attribute10,Attribute7,Attribute22,Attribute13,Attribute2,Attribute17,Attribute15,Attribute12,Attribute18,Attribute11,Attribute14,Attribute24,Attribute19,Attribute6,Attribute16,Class
1,12,1,1,4,0,5,0,4,67,3,0,1,6,0,1,2,1,3,2,1,0,5,0,1
1,60,2,1,2,0,1,0,2,22,2,0,1,48,0,1,1,1,3,1,1,0,3,0,2
1,21,4,1,3,0,1,1,4,49,3,0,2,12,0,1,1,1,3,1,0,0,4,0,1
0,79,1,2,4,0,1,0,2,45,3,0,2,42,0,1,1,0,3,1,1,0,4,0,1
0,49,1,4,4,0,1,0,3,53,3,0,2,24,0,1,2,1,3,1,1,0,3,1,2
0,91,4,4,4,0,5,1,2,35,3,0,2,36,0,1,1,1,3,2,0,0,3,0,1
1,28,4,2,4,0,3,0,2,53,3,0,1,24,0,1,1,1,3,1,1,0,5,0,1
0,69,2,3,2,1,1,0,2,35,3,0,1,36,1,1,1,1,3,2,0,0,3,0,1
1,31,4,1,4,0,4,1,2,61,1,0,1,12,0,1,1,1,3,1,0,0,4,0,1
1,52,2,3,2,0,1,0,4,28,4,0,1,30,0,1,2,1,3,1,0,0,1,1,2
0,13,2,3,1,1,1,0,2,25,2,0,1,12,0,1,1,1,3,1,1,0,2,1,2
0,43,1,2,4,1,1,0,2,24,2,0,1,48,0,1,1,1,3,1,1,0,2,0,2
1,16,2,3,1,0,1,0,2,22,2,0,1,12,0,1,1,1,3,2,1,0,3,0,1
1,12,1,3,4,0,1,1,4,60,3,0,1,24,0,1,2,1,3,1,0,0,5,1,2
0,14,1,3,4,1,1,0,2,28,2,0,1,15,0,1,1,1,3,1,1,0,3,1,1
1,13,1,3,2,0,2,1,2,32,2,0,1,24,0,1,1,1,3,1,0,0,3,0,2
1,24,4,2,4,0,5,0,4,53,3,0,1,24,0,1,2,1,3,1,1,0,5,0,1
1,81,1,3,3,0,5,0,0,25,3,0,1,30,0,1,3,1,1,1,1,0,2,0,1
0,126,2,4,2,0,1,0,2,44,2,0,1,24,1,1,1,1,3,2,0,0,5,0,2
1,34,4,3,2,0,3,0,2,31,3,0,2,24,0,1,1,1,3,2,1,0,5,0,1
1,21,4,3,4,0,1,0,4,48,3,0,1,9,0,1,3,1,3,2,1,0,3,1,1
0,26,1,1,3,1,3,0,2,44,3,0,2,6,0,1,1,1,3,1,1,0,3,0,1
0,22,1,1,3,1,1,1,4,48,3,0,2,10,0,2,2,1,3,1,0,0,2,1,1
1,18,2,2,4,0,2,0,4,44,3,0,1,12,1,1,1,1,3,1,1,0,2,0,1
1,21,4,3,1,0,5,0,4,26,4,0,1,10,0,2,2,1,3,1,1,0,3,0,1
1,14,1,1,2,0,1,1,2,36,3,0,1,6,0,1,1,1,1,2,0,0,3,0,1
1,4,4,3,4,0,1,1,0,39,4,0,1,6,0,1,1,1,3,1,0,0,5,0,1
0,4,3,1,3,1,4,0,1,42,2,0,1,12,0,1,2,1,3,1,1,0,3,0,1
1,24,2,1,2,0,1,0,2,34,3,0,1,7,0,1,1,0,3,1,1,0,3,0,1
1,68,1,4,4,0,1,0,3,63,3,0,1,60,0,1,2,1,3,2,1,0,5,0,2
1,19,2,1,3,0,4,0,2,36,4,0,1,18,0,1,1,1,1,2,1,0,2,0,1
1,40,1,3,2,0,1,0,2,27,3,0,1,24,0,1,1,1,2,1,1,0,3,0,1
1,59,2,3,2,0,2,0,2,30,3,0,1,18,0,1,2,1,3,2,1,0,3,1,1
0,13,4,4,4,1,5,1,4,57,3,0,1,12,0,1,1,1,3,1,0,0,5,0,1
1,15,3,2,1,0,1,0,2,33,2,0,1,12,0,1,1,1,1,2,0,0,2,0,1
1,47,2,2,2,0,1,1,4,25,3,0,1,45,0,1,2,1,3,1,0,0,2,0,2
0,61,4,4,3,0,1,0,4,31,3,0,1,48,0,1,1,1,1,2,1,0,3,0,1
1,21,3,1,2,0,1,0,2,37,3,0,1,18,0,1,1,0,2,1,1,1,3,0,2
1,12,3,3,2,0,1,0,2,37,3,0,1,10,0,1,1,1,3,2,1,0,3,0,1
1,5,2,1,3,0,1,0,2,24,3,0,1,9,0,1,1,1,3,1,1,0,3,0,1
1,23,4,3,2,0,3,0,2,30,3,0,1,30,0,1,1,1,1,1,0,0,5,0,1
1,12,2,3,1,0,3,0,2,26,1,0,1,12,0,1,1,1,3,2,1,0,3,0,1
1,62,2,1,4,0,1,1,3,44,3,0,2,18,0,1,1,1,3,2,0,0,3,0,1
0,62,1,3,4,1,2,0,4,24,4,0,1,30,1,1,2,1,3,1,1,0,4,0,1
0,61,1,4,4,0,1,1,4,58,2,0,1,48,1,1,2,1,2,1,0,0,5,0,2
1,14,4,3,4,0,1,0,4,35,2,0,1,11,0,1,2,1,3,1,0,0,2,1,1
1,23,4,3,4,0,3,0,2,39,3,0,1,36,0,1,1,1,3,1,1,0,5,0,1
0,14,1,2,2,1,3,0,2,23,2,1,1,6,1,1,1,1,3,2,0,0,1,0,1
1,72,4,2,4,0,1,1,4,39,3,0,1,11,0,1,2,1,3,1,0,0,3,1,1
1,21,4,1,2,0,2,0,2,28,2,0,1,12,0,1,1,0,3,1,1,1,3,0,1
1,23,2,2,2,0,5,1,3,29,3,0,1,24,0,1,1,1,1,1,0,0,2,0,1
1,60,2,3,2,0,1,0,3,30,3,0,1,27,1,1,2,1,3,2,0,0,5,0,1
1,13,4,3,2,0,1,0,2,25,3,0,1,12,0,1,1,1,3,1,1,0,3,0,1
1,34,4,2,1,0,5,0,2,31,3,0,1,18,1,1,1,1,3,2,1,0,3,0,1
0,22,2,4,4,0,1,0,3,57,3,0,1,36,0,1,2,1,1,2,1,0,5,1,2
1,8,4,1,2,0,5,1,1,26,3,0,2,6,0,1,1,0,2,1,0,0,3,1,1
1,65,2,4,1,0,5,0,2,52,3,0,1,12,0,1,1,1,3,2,0,0,1,0,2
1,96,4,3,2,0,1,0,4,31,2,0,1,36,0,1,2,1,2,1,1,0,3,0,1
1,20,3,3,2,0,1,0,2,23,2,0,1,18,0,1,1,1,3,1,0,0,5,1,1
0,62,1,4,4,1,1,1,4,23,2,0,1,36,0,1,2,0,3,2,0,1,2,0,2
1,14,2,1,1,0,1,0,2,27,4,0,1,9,0,1,1,1,1,2,1,0,3,0,1
1,15,2,1,4,0,5,0,4,50,3,0,1,15,0,1,2,0,3,2,1,0,5,0,1
0,20,2,4,4,0,1,0,0,61,3,0,1,36,0,1,1,1,3,2,0,0,5,0,2
1,144,2,3,2,0,1,0,0,25,3,0,1,48,0,1,1,1,3,2,1,0,3,0,2
1,32,4,2,4,0,1,0,2,26,2,0,1,24,0,1,1,1,3,2,1,0,2,0,1
1,52,4,2,4,0,5,0,2,48,3,0,2,27,0,1,4,1,3,2,1,0,5,0,1
1,22,4,3,2,0,1,0,2,29,2,0,1,12,0,1,1,1,1,1,1,0,2,0,1
1,10,2,1,1,0,4,0,2,22,4,0,1,12,0,1,1,1,3,1,1,0,3,1,1
0,18,4,4,4,0,1,0,2,37,3,0,1,36,0,1,1,1,2,2,1,0,3,0,2
1,24,4,3,4,0,5,0,2,25,2,0,1,36,0,1,1,1,3,1,1,0,3,0,1
1,81,4,2,2,0,1,0,2,30,2,0,1,36,1,1,1,1,1,1,1,0,3,0,1
0,7,4,2,2,1,5,1,4,46,3,0,1,7,0,1,2,1,3,2,0,0,5,0,1
0,12,1,4,4,0,1,0,4,51,3,0,2,8,0,1,2,1,1,2,0,0,5,0,1
1,60,2,1,1,0,1,1,4,41,2,0,1,42,0,1,2,1,1,1,0,0,4,0,1
1,20,1,4,4,0,5,0,2,40,3,0,1,36,0,1,1,1,3,2,0,0,5,0,2
0,15,1,4,4,0,1,0,4,66,3,0,1,12,1,1,2,1,3,1,0,0,5,0,1
1,40,1,3,3,0,1,0,2,34,3,0,1,42,0,1,1,1,3,1,1,0,2,0,2
1,48,2,2,4,0,1,0,3,51,3,0,1,11,0,1,1,1,3,1,1,0,4,0,1
1,94,4,2,2,0,5,1,0,39,3,0,2,54,1,1,1,1,3,1,0,0,3,0,1
1,38,2,2,1,0,1,0,2,22,4,0,1,30,0,1,1,1,3,1,1,0,2,0,1
1,59,4,3,1,0,5,0,2,44,2,0,1,24,0,1,2,1,3,2,1,0,2,0,2
1,12,4,2,3,0,3,0,2,47,3,0,1,15,0,1,1,1,2,2,1,0,5,0,1
0,16,4,2,4,1,2,1,2,24,2,0,1,18,0,1,1,1,3,1,0,0,3,0,1
1,18,1,1,4,0,1,1,2,58,2,0,1,24,0,1,1,0,3,2,0,0,5,0,1
