issueCount,codingDeliverablesHoursTotal,teamDistribution,standardDeviationCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,helpHoursTotal,nonCodingDeliverablesHoursStandardDeviation,commitMessageLengthStandardDeviation,nonCodingDeliverablesHoursTotal,averageNonCodingDeliverablesHoursAverageByStudent,teamMemberResponseCount,lateIssueCount,averageUniqueCommitMessagePercentByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,commitCount,standardDeviationCommitCountByWeek,standardDeviationMeetingHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageCommitCountByStudent,standardDeviationHelpHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByWeek,standardDeviationCommitMessageLengthTotalByWeek,standardDeviationInPersonMeetingHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,teamMemberCount,averageInPersonMeetingHoursTotalByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,inPersonMeetingHoursStandardDeviation,averageMeetingHoursTotalByStudent,standardDeviationUniqueCommitMessagePercentByWeek,standardDeviationResponsesByWeek,averageHelpHoursTotalByStudent,inPersonMeetingHoursAverage,averageCommitMessageLengthTotalByWeek,averageCodingDeliverablesHoursAverageByStudent,meetingHoursAverage,meetingHoursTotal,averageMeetingHoursAverageByWeek,averageMeetingHoursAverageByStudent,averageMeetingHoursTotalByWeek,averageResponsesByStudent,averageHelpHoursTotalByWeek,codingDeliverablesHoursStandardDeviation,teamLeadGender,commitMessageLengthAverage,averageCodingDeliverablesHoursTotalByWeek,meetingHoursStandardDeviation,commitMessageLengthTotal,standardDeviationMeetingHoursTotalByStudent,helpHoursAverage,standardDeviationMeetingHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationResponsesByStudent,standardDeviationHelpHoursAverageByWeek,averageHelpHoursAverageByWeek,femaleTeamMembersPercent,standardDeviationMeetingHoursAverageByStudent,averageUniqueCommitMessageCountByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageNonCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByWeek,uniqueCommitMessagePercent,nonCodingDeliverablesHoursAverage,inPersonMeetingHoursTotal,onTimeIssueCount,averageCommitCountByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,codingDeliverablesHoursAverage,averageInPersonMeetingHoursAverageByStudent,averageResponsesByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessageCountByWeek,averageInPersonMeetingHoursTotalByWeek,averageHelpHoursAverageByStudent,helpHoursStandardDeviation,standardDeviationCommitCountByStudent,uniqueCommitMessageCount,averageCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,SE Process grade
2,0.0,1,0.0,0.0,2.0,1.0,0.0,14.463316,6.0,6.0,1,0,0.75,0.0,0.0,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,57.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0,14.25,0.0,0.0,57,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.75,6.0,2.0,2,4.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,3,0.0,6.0,0.0,0.0,0.0,0
2,1.714286,1,0.0,0.0,2.095238,8.0,0.942809,6.533567,4.571429,1.52381,3,0,0.75,0.0,0.0,4,0.0,0.0,0.538748,4.0,1.766404,0.0,0.0,0.971242,0.538748,3,2.095238,0.466569,1.699673,3.238095,0.0,0.0,2.666667,2.095238,127.0,0.571429,3.238095,9.714286,3.238095,3.238095,9.714286,1.0,8.0,0.816497,1,31.75,1.714286,3.299832,127,1.885618,2.666667,0.0,1.52381,0.0,0.0,2.666667,0.3333,1.885618,3.0,0.971242,1.52381,0.571429,0.75,1.52381,6.285715,2,4.0,0.0,0.571429,2.095238,3.0,0.0,3.0,6.285715,2.666667,3.091206,0.0,3,0.571429,4.571429,0.0,0.466569,1.766404,1
1,1.714286,1,0.0,0.0,1.142857,1.714286,0.471405,0.0,6.285715,2.095238,3,0,0.1429,0.0,0.0,7,0.0,0.0,0.269374,7.0,0.0,0.0,0.0,0.0,0.269374,4,1.142857,0.466569,0.0,1.333333,0.0,0.0,0.571429,1.142857,0.0,0.571429,1.333333,4.0,1.333333,1.333333,4.0,1.0,1.714286,0.816497,0,0.0,1.714286,0.471405,0,0.269374,0.571429,0.0,2.095238,0.0,0.0,0.571429,0.0,0.269374,1.0,0.0,2.095238,0.571429,0.1429,2.095238,3.428572,1,7.0,0.0,0.571429,1.142857,3.0,0.0,1.0,3.428572,0.571429,0.0,0.0,1,0.571429,6.285715,0.0,0.466569,0.0,0
0,0.0,0,0.0,0.0,1.0,1.0,0.0,4.5,1.5,1.5,1,0,1.0,0.0,0.0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,45.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0,22.5,0.0,0.0,45,0.0,1.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.5,0.0,1.0,1.5,1.0,0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2,0.0,1.5,0.0,0.0,0.0,1
0,9.0,0,0.0,0.0,1.666667,3.0,3.771236,0.0,23.0,7.666666999999999,3,0,1.0,0.0,0.0,1,0.0,0.0,3.771236,1.0,0.0,0.0,0.0,0.471405,3.771236,6,1.666667,4.242641000000001,0.471405,3.666667,0.0,0.0,1.0,1.666667,13.0,3.0,3.666667,11.0,3.666667,3.666667,11.0,1.0,3.0,4.242641000000001,0,13.0,9.0,1.699673,13,1.699673,1.0,0.0,7.666666999999999,0.0,0.0,1.0,0.1667,1.699673,1.0,0.471405,7.666666999999999,3.0,1.0,7.666666999999999,5.0,0,1.0,0.0,3.0,1.666667,3.0,0.0,1.0,5.0,1.0,0.0,0.0,1,3.0,23.0,0.0,4.242641000000001,0.0,1
0,0.857143,0,0.0,0.0,1.469388,4.285714,1.2454,6.495191,8.571429,1.190476,7,0,0.5,0.0,0.0,4,0.0,0.0,0.857143,4.0,0.346672,0.0,0.0,0.212959,0.5812649999999999,6,1.714286,0.319438,0.6776310000000001,1.714286,0.0,0.0,0.714286,1.469388,153.0,0.14285699999999998,1.469388,10.285715,1.469388,1.52381,10.285715,1.1667,4.285714,0.524891,0,38.25,0.857143,0.6776310000000001,153,0.285714,0.6122449999999999,0.0,1.22449,0.372678,0.0,0.6122449999999999,0.1667,0.212959,2.0,0.285714,1.4285709999999998,0.122449,0.5,1.22449,10.285715,0,4.0,0.0,0.122449,1.52381,7.0,0.0,2.0,10.285715,0.6190479999999999,0.562429,0.0,2,0.14285699999999998,8.571429,0.0,0.319438,0.395554,1
0,28.57143,0,0.0,0.0,1.333333,5.142857,1.116653,14.797811,10.0,1.040816,9,0,0.94445,0.0,0.0,11,3.5,0.0,1.069045,1.8333,0.6950770000000001,0.0,94.5,0.588661,0.6944779999999999,7,1.714286,9.550149,0.971825,1.959184,0.05555,0.0,0.734694,1.333333,145.5,4.040817,1.52381,13.714285999999998,1.52381,1.55102,13.714285999999998,1.2857,5.142857,15.011929,0,26.4545,28.57143,0.8498370000000001,291,0.799833,0.571429,0.0,1.111111,0.451754,0.0,0.571429,0.1429,0.503217,1.8333,0.965891,1.4285709999999998,3.174603,0.9091,1.111111,12.000001,0,5.5,0.0,3.174603,1.306123,9.0,3.0,5.0,12.000001,0.653061,1.154701,0.8975270000000001,10,4.081633,10.0,0.0,9.53461,0.663187,1
0,2.285714,0,0.0,0.0,1.4285709999999998,10.571429,1.6,26.870058,16.000001,1.619048,10,0,0.8889,0.0,0.0,9,0.0,0.0,1.463075,9.0,0.585637,0.0,0.0,0.785353,0.712697,6,2.380952,0.269374,1.565248,2.857143,0.0,0.0,1.7619049999999998,1.4285709999999998,312.0,0.190476,1.714286,17.142858,1.714286,2.0,17.142858,1.6667,10.571429,0.663325,0,34.6667,2.285714,2.408319,312,1.475422,1.057143,0.0,1.6,0.471405,0.0,1.057143,0.1667,1.502832,8.0,1.162529,2.666667,0.228571,0.8889,1.6,14.285715,0,9.0,0.0,0.228571,1.52381,10.0,0.0,8.0,14.285715,1.119048,1.7327720000000002,0.0,8,0.380952,16.000001,0.0,0.538748,1.074335,1
0,4.0,0,0.0,0.0,0.785714,4.571429,0.661438,17.913372,8.0,1.0,8,0,0.6667,0.0,0.0,3,0.0,0.0,0.631738,3.0,0.256436,0.0,0.0,0.425918,0.395554,6,1.047619,0.631738,0.695971,1.619048,0.0,0.0,0.761905,0.785714,112.0,0.380952,1.214286,9.714286,1.214286,1.190476,9.714286,1.3333,4.571429,1.964529,0,37.3333,4.0,0.599479,112,0.767834,0.571429,0.0,1.0,0.471405,0.0,0.571429,0.1667,0.346672,2.0,0.693344,1.333333,0.5,0.6667,1.0,6.285715,0,3.0,0.0,0.5,0.761905,8.0,0.0,2.0,6.285715,0.52381,0.5,0.0,2,0.666667,8.0,0.0,1.2526620000000002,0.538748,1
0,0.0,1,0.0,0.0,0.571429,0.857143,0.62361,0.0,2.0,0.666667,3,0,1.0,0.0,0.0,1,0.0,0.0,0.356348,1.0,0.233285,0.0,0.0,0.0,0.356348,4,0.571429,0.0,0.0,1.52381,0.0,0.0,0.285714,0.571429,50.0,0.0,1.52381,4.571429,1.52381,1.52381,4.571429,1.0,0.857143,0.0,0,50.0,0.0,0.471405,50,0.269374,0.285714,0.0,0.666667,0.0,0.0,0.285714,0.0,0.269374,1.0,0.0,0.666667,0.0,1.0,0.666667,1.714286,0,1.0,0.0,0.0,0.571429,3.0,0.0,1.0,1.714286,0.285714,0.408248,0.0,1,0.0,2.0,0.0,0.0,0.233285,0
